size,income,cum_sum,grouping
2,26937,11572,group
2,26950,11594,group
2,26992,11702,group
2,27000,11736,group
2,27100,11760,group
2,27199,11784,group
2,27200,11818,group
2,27300,11846,group
2,27357,12024,group
2,27406,12052,group
2,27463,12094,group
2,27575,12122,group
2,27626,12152,group
2,27646,12186,group
2,27716,12254,group
2,27749,12300,group
2,27770,12344,group
2,27778,12372,group
2,27923,12434,group
2,28000,12472,group
2,28086,12646,group
2,28094,12662,group
2,28199,12684,group
2,28410,12840,group
2,28500,12968,group
2,28515,13050,group
2,28544,13074,group
2,28545,13098,group
2,28596,13110,group
2,28620,13140,group
2,28647,13188,group
2,28785,13236,group
2,28903,13382,group
2,29000,13450,group
2,29041,13474,group
2,29058,13516,group
2,29061,13584,group
2,29095,13608,group
2,29107,13690,group
2,29199,13724,group
2,29269,13750,group
2,29300,13774,group
2,29370,13798,group
2,29462,13928,group
2,29500,14168,group
2,29509,14216,group
2,29578,14244,group
2,29613,14266,group
2,29672,14318,group
2,29721,14360,group
2,29785,14398,group
2,29924,14436,group
2,29991,14660,group
2,30000,14682,group
2,30009,14714,group
2,30198,14746,group
2,30234,14756,group
2,30304,14778,group
2,30312,14800,group
2,30405,14846,group
2,30409,14866,group
2,30462,14910,group
2,30509,14958,group
2,30545,14992,group
2,30639,15268,group
2,30741,15298,group
2,30830,15330,group
2,30935,15358,group
2,31026,15370,group
2,31048,15396,group
2,31062,15450,group
2,31129,15490,group
2,31400,15512,group
2,31566,15616,group
2,31646,15658,group
2,31660,15694,group
2,31684,15736,group
2,31787,15780,group
2,31891,15808,group
2,31911,15864,group
2,32000,15932,group
2,32061,15962,group
2,32092,15984,group
2,32100,16052,group
2,32201,16100,group
2,32215,16124,group
2,32408,16164,group
2,32440,16194,group
2,32619,16254,group
2,32682,16266,group
2,32723,16292,group
2,32926,16322,group
2,33000,16354,group
2,33090,16380,group
2,33094,16426,group
2,33145,16474,group
2,33192,16516,group
2,33250,16558,group
2,33271,16580,group
2,33301,16634,group
2,33340,16650,group
2,33355,16676,group
2,33499,16704,group
2,33671,17018,group
2,33703,17056,group
2,33715,17190,group
2,33921,17232,group
2,34000,17410,group
2,34065,17496,group
2,34092,17542,group
2,34112,17570,group
2,34128,17626,group
2,34169,17684,group
2,34197,17860,group
2,34200,17896,group
2,34232,17922,group
2,34500,17972,group
2,34723,18064,group
2,34800,18118,group
2,34900,18216,group
2,35000,18270,group
2,35031,18316,group
2,35133,18340,group
2,35162,18474,group
2,35204,18530,group
2,35249,18558,group
2,35354,18588,group
2,35411,18644,group
2,35460,18670,group
2,35473,18712,group
2,35515,18736,group
2,35746,18764,group
2,35775,18866,group
2,35807,18876,group
2,35848,18902,group
2,35950,18920,group
2,36154,18964,group
2,36197,19206,group
2,36200,19230,group
2,36240,19262,group
2,36300,19324,group
2,36550,19376,group
2,36563,19474,group
2,36600,19496,group
2,36714,19524,group
2,36722,19628,group
2,36767,19720,group
2,36817,19774,group
2,36861,19882,group
2,36933,19926,group
2,36971,20010,group
2,37000,20054,group
2,37231,20078,group
2,37275,20158,group
2,37278,20302,group
2,37380,20350,group
2,37438,20374,group
2,37459,20404,group
2,37482,20430,group
2,37541,20468,group
2,37586,20508,group
2,37880,20562,group
2,37979,20586,group
2,38000,20626,group
2,38095,20678,group
2,38103,20706,group
2,38200,20738,group
2,38265,20826,group
2,38300,20858,group
2,38310,20890,group
2,38458,20910,group
2,38517,20936,group
2,38575,20964,group
2,38679,21002,group
2,38700,21018,group
2,38782,21068,group
2,38810,21092,group
2,38828,21146,group
2,38900,21176,group
2,38910,21198,group
2,38932,21294,group
2,39035,21320,group
2,39100,21346,group
2,39142,21368,group
2,39247,21414,group
2,39299,21546,group
2,39300,21636,group
2,39346,21692,group
2,39353,21706,group
2,39500,21824,group
2,39524,21848,group
2,39553,21892,group
2,39600,21912,group
2,39656,21952,group
2,39689,21976,group
2,39800,22026,group
2,39879,22062,group
2,39900,22104,group
2,40000,22216,group
2,40071,22256,group
2,40089,22290,group
2,40300,22340,group
2,40333,22362,group
2,40341,22386,group
2,40350,22406,group
2,40381,22596,group
2,40500,22642,group
2,40592,22666,group
2,40597,22698,group
2,40615,22724,group
2,40644,22754,group
2,40648,22850,group
2,40852,23078,group
2,40899,23218,group
2,40900,23256,group
2,41036,23430,group
2,41159,23474,group
2,41200,23504,group
2,41313,23530,group
2,41367,23780,group
2,41417,24054,group
2,41465,24094,group
2,41471,24124,group
2,41500,24150,group
2,41567,24186,group
2,42000,24238,group
2,42088,24336,group
2,42100,24378,group
2,42183,24420,group
2,42194,24454,group
2,42452,24524,group
2,42615,24584,group
2,42690,24628,group
2,42712,24710,group
2,42815,24740,group
2,42833,24766,group
2,42866,24792,group
2,42895,24902,group
2,42930,24934,group
2,43280,24948,group
2,43281,24988,group
2,43487,25058,group
2,43508,25106,group
2,43656,25136,group
2,43667,25194,group
2,43916,25240,group
2,43953,25276,group
2,44000,25430,group
2,44193,25626,group
2,44263,25696,group
2,44470,25718,group
2,44523,25862,group
2,44532,25882,group
2,44580,25924,group
2,44719,25956,group
2,44730,25968,group
